Field Name,Type,Length,Precision,Scale,Nullable,Required,Editable,Alias,Domain
OBJECTID,OID,4,,,No,Yes,No,OBJECTID,
Shape,Geometry,,,,Yes,Yes,Yes,Shape,
unique_id,String,64,,,Yes,No,Yes,Unique ID,
source,String,64,,,Yes,No,Yes,Source,
source_unique_id,String,64,,,Yes,No,Yes,Source Unique ID,
date_reported,Date,8,,,Yes,No,Yes,Date Reported,
record_level,String,16,,,Yes,No,Yes,Record Level,dm_record_level
campus_id,String,128,,,Yes,No,Yes,Campus ID,
campus_name,String,128,,,Yes,No,Yes,Campus/Project Name,
company_source,String,128,,,Yes,No,Yes,Company (Source),
company_clean,String,128,,,Yes,No,Yes,Company (Clean),
building_designation,String,64,,,Yes,No,Yes,Building Designation,
address,String,255,,,Yes,No,Yes,Address,
postal_code,String,16,,,Yes,No,Yes,Zip/Postal,
city,String,128,,,Yes,No,Yes,City,
market,String,128,,,Yes,No,Yes,Market,
state,String,64,,,Yes,No,Yes,State,
state_abbr,String,8,,,Yes,No,Yes,State Abbr,
county,String,128,,,Yes,No,Yes,County,
country,String,64,,,Yes,No,Yes,Country,
region,String,16,,,Yes,No,Yes,Region,
latitude,Double,8,,,Yes,No,Yes,Latitude,
longitude,Double,8,,,Yes,No,Yes,Longitude,
planned_power_mw,Double,8,,,Yes,No,Yes,Planned Power (MW),
uc_power_mw,Double,8,,,Yes,No,Yes,Under Construction Power (MW),
commissioned_power_mw,Double,8,,,Yes,No,Yes,Commissioned Power (MW),
full_capacity_mw,Double,8,,,Yes,No,Yes,Full Capacity (MW),
planned_plus_uc_mw,Double,8,,,Yes,No,Yes,Planned + UC (MW),
mw_2023,Double,8,,,Yes,No,Yes,2023,
mw_2024,Double,8,,,Yes,No,Yes,2024,
mw_2025,Double,8,,,Yes,No,Yes,2025,
mw_2026,Double,8,,,Yes,No,Yes,2026,
mw_2027,Double,8,,,Yes,No,Yes,2027,
mw_2028,Double,8,,,Yes,No,Yes,2028,
mw_2029,Double,8,,,Yes,No,Yes,2029,
mw_2030,Double,8,,,Yes,No,Yes,2030,
mw_2031,Double,8,,,Yes,No,Yes,2031,
mw_2032,Double,8,,,Yes,No,Yes,2032,
pue,Double,8,,,Yes,No,Yes,PUE,
actual_live_date,Date,8,,,Yes,No,Yes,Actual Live Date,
construction_started,Date,8,,,Yes,No,Yes,Construction Started,
announced,Date,8,,,Yes,No,Yes,Announced,
land_acquisition,Date,8,,,Yes,No,Yes,Land Acquisition,
permitting,Date,8,,,Yes,No,Yes,Permitting,
cod,Date,8,,,Yes,No,Yes,COD,
facility_status,String,32,,,Yes,No,Yes,Facility Status,dm_facility_status
cancelled,SmallInteger,2,,,Yes,No,Yes,Cancelled,
facility_sqft,Double,8,,,Yes,No,Yes,Facility Sq Ft,
whitespace_sqft,Double,8,,,Yes,No,Yes,Whitespace Sq Ft,
available_power_kw,Double,8,,,Yes,No,Yes,Available Power (kW),
substation_count,SmallInteger,2,,,Yes,No,Yes,Substation Count,
onsite_substation,SmallInteger,2,,,Yes,No,Yes,Onsite Substation,
power_provider,String,128,,,Yes,No,Yes,Power Provider,
power_grid,String,128,,,Yes,No,Yes,Power Grid,
tier_design,String,32,,,Yes,No,Yes,Tier Design,
type_category,String,32,,,Yes,No,Yes,Type (Colo/Hyperscale),dm_type_category
owned_leased,String,32,,,Yes,No,Yes,Owned/Leased,dm_owned_leased
purpose,String,32,,,Yes,No,Yes,Purpose Built or Retrofit,dm_purpose
feed_config,String,16,,,Yes,No,Yes,Feed Config,dm_feed_config
ecosystem_ixps,SmallInteger,2,,,Yes,No,Yes,Ecosystem IXPs,
ecosystem_cloud,SmallInteger,2,,,Yes,No,Yes,Ecosystem Cloud,
ecosystem_children,SmallInteger,2,,,Yes,No,Yes,Ecosystem Children,
ecosystem_networkproviders,SmallInteger,2,,,Yes,No,Yes,Ecosystem Net Providers,
ecosystem_networkpresence,SmallInteger,2,,,Yes,No,Yes,Ecosystem Net Presence,
ecosystem_serviceproviders,SmallInteger,2,,,Yes,No,Yes,Ecosystem Service Providers,
additional_references,String,512,,,Yes,No,Yes,References,
notes,String,1024,,,Yes,No,Yes,Notes,
ingest_date,Date,8,,,Yes,No,Yes,Ingest Date,
status_rank_tmp,SmallInteger,2,,,Yes,No,Yes,status_rank_tmp,
total_cost_usd_million,Double,8,,,Yes,No,Yes,Total Project Cost (USD Millions),
land_cost_usd_million,Double,8,,,Yes,No,Yes,Land Acquisition Cost (USD Millions),
total_site_acres,Double,8,,,Yes,No,Yes,Total Site Acreage,
data_center_acres,Double,8,,,Yes,No,Yes,Data Center Footprint Acreage,
